doc_id,participant_type,participant_id,early_late,work_mode,cohort_year,organization_name,text_ner
stu_01_wk02,student,1,early,hybrid,2025,Project Hope,"Had final interview session with team members. Attended onboarding meetings with different teams within the organization. Started learning the organization’s data management tool (DHIS2). The key insight was understanding the organization’s work culture. A challenge was determining when I could begin work and how to connect with my supervisor. I addressed this by sending follow-up emails to senior HR, and the issue was resolved. My priority for the next two weeks is completing two learning modules of the DHIS2 tool and gaining deeper understanding of strategic data points for measuring high-level program quality indicators for noncommunicable diseases (NCD) and RMNCH programs."
stu_01_wk04,student,1,early,hybrid,2025,Project Hope,"Participated in MEL team meetings to improve top-level service quality indicators. Worked with the DHIS2 reporting tool and transformed 2025 top-level indicators into an Excel sheet. Met with Ensign Global to explore potential collaboration in Ghana. A key insight was understanding how indicators of measurement are defined according to donor reporting criteria compared to standard frameworks. My priorities for the next two weeks include working with the MEL team to further improve top-level service quality indicators, following up with Ensign Global regarding collaboration, and continuing to learn and practice using the DHIS2 tool."
stu_01_wk06,student,1,late,hybrid,2025,Project Hope,"Contributed to the development of outcome indicator reference sheets for top-level indicators including HIV, RMNCH, NCDs, and MHPSS. The work involved outlining clear definitions and measurement methodologies to ensure consistency and accuracy in monitoring and evaluation practices. I gained a clearer understanding of how outcome indicators are defined and tailored according to donor reporting criteria while aligning with established standards. Initially, I found it challenging to differentiate between outcome and impact indicators, but I now recognize their distinctions and relevance within monitoring and evaluation frameworks. My priorities for the next two weeks include continuing work on outcome indicator reference sheets to ensure each indicator is clearly defined with appropriate measurement methodologies aligned with donor standards. I also plan to complete introductory courses in monitoring and evaluation to strengthen foundational knowledge and apply best practices in indicator development, data interpretation, and reporting. Additionally, I will facilitate engagement between Ensign Global University and Project HOPE to support collaboration, knowledge exchange, and strategic alignment of health program initiatives."
stu_01_wk08,student,1,late,hybrid,2025,Project Hope,"Developed indicator reference sheets for top-level HIV and MHPSS indicators, outlining clear definitions and measurement methodologies to ensure consistency and accuracy in measuring program outcomes. Completed three monitoring and evaluation courses, including M&E Fundamentals, Data Quality, Data Use for Program Managers, and Data Visualization on the USAID Global Health Learning Center platform. These courses strengthened my understanding of monitoring and evaluation data management practices. I gained a clearer understanding of how outcome indicators are defined and tailored according to donor reporting criteria while aligning with established standards. I also learned that standardized indicators developed by organizations such as USAID and UN agencies represent gold standards in monitoring and evaluation practice. My priorities for the next two weeks include continuing work on outcome indicator reference sheets to ensure each indicator is clearly defined and ready for use by national offices. I also plan to complete additional monitoring and evaluation courses, including Knowledge Management in Global Health Programs and Data Use for Program Managers, and support engagement between Ensign Global University and Project HOPE."
stu_01_wk10,student,1,late,hybrid,2025,Project Hope,"Completed indicator reference sheets for top-level HIV and MHPSS indicators, outlining clear definitions and measurement methodologies to ensure consistency and accuracy in measuring program outcomes. Completed and documented learning from five monitoring and evaluation courses, including M&E Fundamentals, Data Quality, Data Use for Program Managers, and Data Visualization on the USAID Global Health Learning Center platform. These courses strengthened my understanding of monitoring and evaluation data management and provided a foundation for completing performance indicator reference sheets. Worked on the final presentation describing my internship journey at Project HOPE, which will be shared with the organization. I gained a clearer understanding of how outcome indicators are defined and tailored according to donor reporting criteria while aligning with established standards. I also developed greater insight into data demand and information use within the humanitarian sector, including the cyclical framework connecting data demand and information use."
stu_02_wk02,student,2,early,remote,2025,Relief International,Met with directors and management personnel during the onboarding process and helped update the daily NGO alerts spreadsheet to inform the team about potential grant opportunities. Began drafting an emergency funding brief. I recognized the importance of active listening skills in professional settings. One challenge I faced was maintaining focus in a fully remote work environment. I addressed this by working in different locations on campus and in the city to improve concentration and productivity. I plan to continue regular communication with my supervisor. We have established a consistent call schedule to provide updates and discuss progress.
stu_02_wk04,student,2,early,remote,2025,Relief International,"Completed multiple Excel reorganizations for my supervisor and team. I also contributed more actively to the grant research and writing process by conducting due diligence and identifying potential points of contact. Additionally, I attended a public event on Capitol Hill related to humanitarian assistance, which provided useful professional exposure. I reflected on the importance of organizational preparedness in the humanitarian sector. Recent federal policy changes have significantly impacted the workplace, and I realized that diversifying funding sources is essential for long-term stability. A challenge I faced was strengthening my Excel skills. I addressed this by independently reviewing tutorials and learning core functions, which enabled me to produce a well-organized spreadsheet that received positive feedback from leadership. I plan to build stronger connections with staff based in Washington, DC to deepen professional relationships and collaboration."
stu_02_wk06,student,2,late,remote,2025,Relief International,"Helped compile a folder of outreach materials designed specifically for donor engagement. Identified a new funding opportunity through research and shared it with the team, leading to collaborative work on a funding application. I developed a stronger understanding of organizational branding and messaging within business development work. I did not encounter any major challenges during this period, and regular check-ins with my supervisor helped maintain clarity and direction. I plan to conduct corporate research to identify actionable and strategic partnership opportunities that can support long-term financing strategies for the organization."
stu_02_wk08,student,2,late,remote,2025,Relief International,"Conducted research on corporations aligned with the organization’s mission and identified open funding opportunities to support ongoing projects in light of federal budget reductions. Prepared a presentation for the business development team outlining findings and recommendations for positioning financial strategies in the upcoming year. This was my first experience presenting to a group of working professionals, which felt intimidating. To prepare, I conducted thorough background research to ensure I could speak confidently about my findings and respond to questions effectively. I also practiced multiple rehearsal runs to strengthen my presentation delivery. As the internship concludes, I hope to maintain the professional network I have built, particularly with my supervisor. I also aim to complete an intern handbook to support future interns by sharing lessons learned and strategies that were effective during my experience."
stu_02_wk10,student,2,late,remote,2025,Relief International,"Presented research findings on potential corporate partnerships to the senior leadership team and received positive feedback on the clarity and professionalism of the presentation. Concluded the internship with a final recap of completed work and expressed appreciation to the team. I developed stronger presentation skills and gained confidence in communicating ideas clearly and concisely to professional audiences. A minor challenge was the temporary absence of my supervisor during her annual leave, which made the work environment quieter than usual. However, regular check-ins with her supervisor provided continued guidance and support. As the internship concludes, my immediate priority is to rest and recharge before the academic semester begins."
