participant_type,entity,n
student,SharePoint,7
student,World Bank,4
student,GSA,3
student,Google Dialogflow,3
student,Project HOPE’s,3
student,Salesforce,3
student,Canva,2
student,Data Quality,2
student,Data Visualization,2
student,Ensign Global University,2
student,LinkedIn,2
student,M&E Fundamentals,2
student,MEL,2
student,RMNCH,2
student,SQL,2
student,the USAID Global Health Learning Center,2
student,the Youth Mental Health and Resilience,2
student,the Youth Mental Health and Resilience Program,2
student,Capitol Hill,1
student,Change Orders,1
student,DHIS2,1
student,Healthcare Workers,1
student,Instagram,1
student,International Women in,1
student,Knowledge Management in Global Health Programs,1
student,LGL,1
student,MHU,1
student,Mental Health Resilience Program,1
student,Microsoft Excel,1
student,Mobile Health Units,1
student,NCD,1
student,Project HOPE,1
student,SIN,1
student,Safety and Security,1
student,Sprout Social,1
student,UN,1
student,UNICEF,1
student,USAID,1
student,United Nations,1
student,YouTube,1
student,Youth Mental Health and Resilience,1
student,the Climate Change for,1
student,the Gaucher Mental Health and Psychosocial Support,1
student,the Institutional Advancement,1
student,the International Programs,1
student,the Mobile Health Unit,1
student,the broader development department,1
supervisor,GW,5
supervisor,WCK,5
supervisor,SharePoint,4
supervisor,EWB,3
supervisor,Slack,3
supervisor,HIPP,2
supervisor,American University,1
supervisor,Capitol Hill,1
supervisor,DC Central Kitchen,1
supervisor,Department of Transportation,1
supervisor,ED,1
supervisor,EPA,1
supervisor,EWD,1
supervisor,Highlands Dwellings,1
supervisor,Hub,1
supervisor,Partnership Independence,1
supervisor,Relief International,1
supervisor,Scott,1
supervisor,St. Elizabeths,1
supervisor,USAID,1
supervisor,USDA,1
supervisor,World Central Kitchen,1
supervisor,the Peace Corps,1
supervisor,the Ward 8 Hub,1
supervisor,the Washington Center,1
