early_late,entity,n
early,Ghana,2
early,Salesforce,2
early,the United States,2
early,Egypt,1
early,Iran,1
early,Israel,1
early,LinkedIn,1
early,Mexico,1
early,Sierra Leone,1
early,U.S.,1
early,"Washington, DC",1
late,DC,5
late,Tableau,4
late,Costa Rica,3
late,Iran,3
late,Israel,3
late,Nigeria,3
late,"Washington, DC",3
late,AI,2
late,Gaza,2
late,LinkedIn,2
late,Sudan,2
late,U.S. Virgin Islands,2
late,US,2
late,the United States,2
late,Atlanta,1
late,Belfast,1
late,Canva,1
late,Capitol Heights,1
late,Colorado,1
late,Guatemala,1
late,Highlands,1
late,LAHIV,1
late,Maryland,1
late,Mexico,1
late,Northern Ireland,1
late,Puerto Rico,1
late,Southeast DC,1
late,U.S.,1
late,Washington,1
late,West Africa,1
late,the West Bank,1
