topic,term,beta
1,data,0.023969004989217203
1,support,0.012966561931938198
1,engagement,0.012006800776842656
1,key,0.01150877557262815
1,challenge,0.011212670119356965
1,understanding,0.01066992922022022
1,including,0.010293138742374969
1,strengthened,0.010084247162423576
1,donor,0.009303516736082786
1,developed,0.009161090383753547
2,data,0.020007735496943714
2,challenge,0.011836463291849866
2,volunteer,0.009332190836700609
2,management,0.009168762190243599
2,communication,0.008123124989384124
2,outreach,0.008058985884339327
2,key,0.008039657889895592
2,teams,0.007970624756496628
2,developed,0.007768825964357019
2,completed,0.00765294187804324
3,challenge,0.02526390171458226
3,ensure,0.01465968573277068
3,plan,0.01407842213296719
3,content,0.011957771378800136
3,media,0.011335691910034496
3,development,0.011193171542923533
3,research,0.010168983588017808
3,support,0.010094230014151785
3,internal,0.009936626805263318
3,information,0.009274831562708039
4,data,0.019609654962349423
4,encountered,0.017239537140228113
4,time,0.01078240979656813
4,plan,0.01048149718973821
4,structured,0.00970778733540521
4,involved,0.009250327343983294
4,continued,0.009181632064500456
4,development,0.008084674529872667
4,improve,0.007759029390135195
4,communication,0.007707836450331707
5,plan,0.015254928485735553
5,development,0.014815291204475695
5,involved,0.013454585213288444
5,time,0.011517435821969624
5,communication,0.010806444586725916
5,key,0.009956578757564654
5,gained,0.009594951295694855
5,report,0.008942729185875636
5,related,0.008010137530966556
5,ensure,0.007838924175131849
6,research,0.01876849198871133
6,community,0.01773940815897579
6,data,0.015986052074142124
6,strengthened,0.01169729747549238
6,meetings,0.011639876135117593
6,internal,0.01124746328116516
6,development,0.009368425455827147
6,health,0.009262257916923894
6,plan,0.008899831890444621
6,developed,0.008860363110673753
