topic,term,beta
1,time,0.03650808076578291
1,don,0.029226668679291558
1,lot,0.028068168061802692
1,experience,0.01797507449188172
1,people,0.015379240532457695
1,data,0.013663766207073966
1,ve,0.01290960616107859
1,couple,0.012365029240779124
1,process,0.011241026415112139
1,information,0.011214496967052281
2,community,0.03703703703703702
2,contact,0.023809523809523808
2,lot,0.021164021164021152
2,people,0.021164021164021152
2,time,0.021164021164021152
2,helpful,0.021164021164021152
2,tasks,0.015873015873015876
2,don,0.015873015873015862
2,amazing,0.015873015873015862
2,folks,0.015873015873015862
3,day,0.031055900621118026
3,didn,0.02898550724637682
3,lot,0.024844720496894422
3,time,0.01863354037267082
3,experience,0.01863354037267082
3,don,0.016563146997929618
3,process,0.014492753623188415
3,basic,0.012422360248447204
3,fit,0.012422360248447204
3,couple,0.01035196687370601
4,time,0.02222790166326161
4,furniture,0.01633981126349842
4,check,0.016271095853458945
4,data,0.01597738109924082
4,yeah,0.012133010298443166
4,experience,0.011693238299280144
4,reach,0.01168678023814013
4,day,0.011671293759641729
4,youth,0.011671293759641729
4,successful,0.011671293759641283
