early_late,category,mean_hits_1000
early,applied_academic_learning,7.455868939974002
early,communication_skills,18.95860568617524
early,intercultural_competence,9.893096317073523
early,leadership,11.357846123034365
early,problem_solving,19.323535319978056
early,teamwork,13.04821588524927
early,technical_skills,19.37276026549491
late,applied_academic_learning,8.284120320417498
late,communication_skills,15.90132708375293
late,intercultural_competence,11.210273807352763
late,leadership,13.081434059653603
late,problem_solving,17.742635705613687
late,teamwork,12.290689341600094
late,technical_skills,30.55681731992715
