organization_name,word,n,tf,idf,tf_idf
A Wider Circle,furniture,17,0.009387078961899503,2.1972245773362196,0.020625520604481355
A Wider Circle,hub,12,0.006626173384870237,2.1972245773362196,0.014559191014928015
A Wider Circle,chatbot,11,0.006073992269464384,2.1972245773362196,0.013345925097017347
A Wider Circle,services,12,0.006626173384870237,1.5040773967762742,0.009966277615303859
A Wider Circle,poverty,8,0.004417448923246825,2.1972245773362196,0.009706127343285345
A Wider Circle,community,29,0.01601325234676974,0.5877866649021191,0.009412376191143816
A Wider Circle,client,11,0.006073992269464384,1.5040773967762742,0.009135754480695205
A Wider Circle,subscriber,7,0.003865267807840972,2.1972245773362196,0.008492861425374676
A Wider Circle,youth,12,0.006626173384870237,1.0986122886681098,0.007279595507464007
A Wider Circle,clients,6,0.0033130866924351186,2.1972245773362196,0.007279595507464007
CARE,informant,6,0.0093603744149766,2.1972245773362196,0.02056684471765572
CARE,gender,4,0.0062402496099844,2.1972245773362196,0.01371122981177048
CARE,girls,4,0.0062402496099844,2.1972245773362196,0.01371122981177048
CARE,coding,5,0.0078003120124804995,1.5040773967762742,0.01173227298577437
CARE,consultation,3,0.0046801872074883,2.1972245773362196,0.01028342235882786
CARE,minimum,3,0.0046801872074883,2.1972245773362196,0.01028342235882786
CARE,format,4,0.0062402496099844,1.5040773967762742,0.009385818388619497
CARE,half,4,0.0062402496099844,1.5040773967762742,0.009385818388619497
CARE,themes,4,0.0062402496099844,1.5040773967762742,0.009385818388619497
CARE,women,4,0.0062402496099844,1.5040773967762742,0.009385818388619497
Engineers Without Borders,volunteer,21,0.014009339559706471,1.5040773967762742,0.021071130975518184
Engineers Without Borders,video,17,0.01134089392928619,1.5040773967762742,0.017057582218276624
Engineers Without Borders,phenomenal,9,0.00600400266844563,2.1972245773362196,0.013192142225500985
Engineers Without Borders,employer,7,0.004669779853235491,2.1972245773362196,0.010260555064278545
Engineers Without Borders,production,7,0.004669779853235491,2.1972245773362196,0.010260555064278545
Engineers Without Borders,media,11,0.00733822548365577,1.0986122886681098,0.008061864693361712
Engineers Without Borders,engineering,5,0.00333555703802535,2.1972245773362196,0.007328967903056103
Engineers Without Borders,vendor,5,0.00333555703802535,2.1972245773362196,0.007328967903056103
