participant_type,word,n,tf,idf,tf_idf
student,confidence,13,0.09285714285714286,0.6931471805599453,0.06436366676628064
student,strong,1,0.007142857142857143,0.6931471805599453,0.004951051289713895
student,support,51,0.36428571428571427,0,0
student,professional,25,0.17857142857142858,0,0
student,learning,16,0.11428571428571428,0,0
student,learned,12,0.08571428571428572,0,0
student,prepared,8,0.05714285714285714,0,0
student,meaningful,5,0.03571428571428571,0,0
student,positive,3,0.02142857142857143,0,0
student,growth,2,0.014285714285714285,0,0
supervisor,helpful,19,0.2159090909090909,0.6931471805599453,0.14965677762089727
supervisor,excited,8,0.09090909090909091,0.6931471805599453,0.06301338005090412
supervisor,confident,5,0.056818181818181816,0.6931471805599453,0.03938336253181507
supervisor,success,1,0.011363636363636364,0.6931471805599453,0.007876672506363015
supervisor,support,13,0.14772727272727273,0,0
supervisor,professional,9,0.10227272727272728,0,0
supervisor,prepared,7,0.07954545454545454,0,0
supervisor,learned,5,0.056818181818181816,0,0
supervisor,positive,5,0.056818181818181816,0,0
supervisor,successful,5,0.056818181818181816,0,0
