phrase,n
a challenge,45
i encountered,31
to address this,27
addressed this by,24
a challenge involved,7
a key challenge,7
key challenge involved,7
a challenge arose,3
concepts a challenge,2
materials a challenge,2
organization a challenge,2
settings a challenge,2
a challenge at,1
a challenge during,1
a challenge was,1
communication a challenge,1
concisely a challenge,1
culture a challenge,1
cycles a challenge,1
dashboards a challenge,1
documented a challenge,1
efforts a challenge,1
engagement a challenge,1
equipment a challenge,1
execution a challenge,1
expectations a challenge,1
facilitation a challenge,1
findings a challenge,1
functions a challenge,1
gathering a challenge,1
initiatives a challenge,1
language a challenge,1
months a challenge,1
motivations a challenge,1
objectives a challenge,1
pages a challenge,1
period a challenge,1
planning a challenge,1
platforms a challenge,1
practices a challenge,1
pressure a challenge,1
projects a challenge,1
publication a challenge,1
remains a challenge,1
simultaneously a challenge,1
spreadsheet a challenge,1
stability a challenge,1
strategy a challenge,1
teams a challenge,1
tools a challenge,1
units a challenge,1
work a challenge,1
